ID	Synonyms	Definition	Definition in Sorani
ENG20-00156909-n	move; 	the act of deciding to do something	کرداری هەڵبژاردنی هەڵویستێک بۆ جێ بە جێ کردنی کارێک
ENG20-00158985-n	maneuver; manoeuvre; tactical maneuver; tactical manoeuvre; 	a move made to gain a tactical end	بزووتنەوەیەک بۆ وە دەست خستنی کۆتایییەکی کارامە
ENG20-00159406-n	move; relocation; 	the act of changing your residence or place of business	کاروڕەوتی گۆڕینی نیشتەجێیەتی یان جێگای کارێک
ENG20-00162952-n	means; agency; way; 	how a result is obtained or an end is achieved	چووناوچۆن وە دەست کەوتنی دەستکەوت یان کۆتایییەک
ENG20-00162972-v	change; 	change clothes; put on different clothes	گۆڕینەوەی شمەک؛ لە بەر کردنی پۆشەنی جیاواز
ENG20-00163165-v	change magnitude; 	change in size or magnitude	زۆربوونەوەی قەبارە یان گەورەییی شتێک
ENG20-00163320-v	modify; 	make less severe or harsh or extreme	بە ئاستێکی کەم گەیاندنی قووڵایی یان کارلێکەری یان بەدەرەتان بوونی شتێک
ENG20-00166870-v	remove; take; take away; withdraw; 	remove something concrete, as by lifting, pushing, taking off, etc. or remove something abstract	وە لا نانەوەی شتێکی بڵاو لە ڕێگای هەڵگرتن، پاڵ پیوە نان، لێکردنەوە و هتد. یان لا بردنی شتێکی واتایی 
ENG20-00170871-n	election; 	the act of selecting someone or something; the exercise of deliberate choice	کاروڕەوتی هەڵبژاردنی کەسێک یان شتێک؛ چالاکیی هەڵبژاردنی خوازیارانە
ENG20-00171248-v	clean; pick; 	remove unwanted substances from, such as feathers or pits	لا بردنی ماکە ناپێویستەکان لە شتێک، وەک پەڕ یان نێوکی شتێک
ENG20-00171395-v	clean; 	remove shells or husks from	
ENG20-00171718-v	pick; 	remove in small bits	وە لاوە نان لە بەشانی بچووکدا
ENG20-00171851-v	clear; clear up; 	free (the throat) by making a rasping sound	بە قرخەقرخ ڕێکوپێک کردنی گەروو بۆ پەیڤین بە دەنگی خاوێن
ENG20-00172086-n	vote; 	the opinion of a group as determined by voting	بۆچوونی گرووپێک کە لە ڕێگای دەنگدانەوە هەڵبژێردرێن
ENG20-00172927-v	take away; take out; 	take out or remove	وە لا نان یان لێ کردنەوە
ENG20-00173378-n	vote; ballot; voting; balloting; 	a choice that is made by voting	ئەو هەڵبژاردەیە کە لە ڕێگای دەنگ دانەوە بەدی بێ
ENG20-00174453-v	scavenge; clean; 	remove unwanted substances from	لێکردنەوەی ماکە نەخواستەکان لە شتێک
ENG20-00175280-v	unclutter; clear; 	rid of obstructions	لە کۆڵ کردنەوەی بەرهەڵستەکان
ENG20-00176022-v	add; 	make an addition (to); join or combine or unite with others; increase the quality, quantity, zise or scope of	زێدەیەک لە سەر شتێک نان؛ تێکەڵاندن یان لێکخستن یان یەک کردن دەگەڵ شتانی دیکە؛ زیاد کردنی چۆنایەتی، چەندایەتی، قەبارە یان بەرینایی
ENG20-00177721-v	include; 	add as part of something else; put in as part of a set, group, or category	لە پاڵ نانی شتێک وەکوو بەشێک لە وی؛ پێک هێنان وەکوو بەشێک لە کۆمەڵێک، گرووپێک یان تاقمێک
ENG20-00177959-v	mix; mix in; 	add as an additional element or part	زێدە کردن وەکوو هێمانێک یان بەشێکی زیادە 
ENG20-00180570-n	change; 	the action of changing something	گۆڕانکاری بە سەر شتێکدا هێنان
ENG20-00182005-n	economy; saving; 	an act of economizing; reduction in cost	کاروڕەوتی چاک کەڵک وەرگرتن لە شتێک؛ دابەزاندن لە نرخەکاندا
ENG20-00183522-v	punctuate; mark; 	insert punctuation marks into	دانانی خاڵ و نیشانە لە نێو دەقاندا
ENG20-00185398-v	deaden; blunt; 	make less lively, intense, or vigorous; impair in vigor, force, activity, or sensation	کەمتر کردنەوەی وشیاری، زیندووایەتی یان هێز؛ ناکۆکی لە بڕست، هێز، بەکاربوون یان هەستیاری
ENG20-00186839-v	compound; combine; 	put or add together	وێک خستن یان لێک نان
ENG20-00187833-n	promotion; 	act of raising in rank or position	کاروڕەوتی بەرەو سەر بردنەوەی ئاست یان پلەوپایە
ENG20-00187887-v	strip; dismantle; 	take off or remove	لێ کردنەوە یان وە لاوە نان
ENG20-00188265-v	denude; bare; denudate; strip; 	lay bare	بێ پۆشەن کردن
ENG20-00188512-n	change of state; 	the act of changing something into something different in essential characteristics	کاروڕەوتی گۆڕانی پێناسە سەرەکییەکانی شتێک بە شتێکی دیکە 
ENG20-00189089-n	alteration; modification; adjustment; 	the act of making something different (as e.g. the size of a garment)	کاروڕەوتی خولقاندنی شتێکی جیاواز( بۆ نموونە قەبارەی شمەکێک)
ENG20-00189569-v	burn; 	burn with heat, fire, or radiation	بە تین، ئاگر یان تیشک سووتاندن
ENG20-00190422-n	passage; transition; 	the act of passing from one state or place to the next	کاروڕەوتی تێپەڕین لە دۆخێک یان جێگایەکەوە بۆ ئی دیکە
ENG20-00190778-v	disembowel; eviscerate; draw; 	remove the entrails of	دەرهێنانی پزۆر لە زگ
ENG20-00191493-n	resistance; opposition; 	the action of opposing something that you disapprove or disagree with	کاروڕەوتی دژایەتی دەگەڵ شتێک کە بە دڵت نییە یان پێت خۆش نییە
ENG20-00192025-n	reaction; 	doing something in opposition to another way of doing it that you don't like	کردنی کردارێک دژ بە شێوازێکی دیکەی کردنی هەر ئەو کارە کە بە دڵتان نییە
ENG20-00192551-n	rejection; 	the act of rejecting something	کاروڕەوتی پەسەند نەکردنی شتێک
ENG20-00192682-v	correct; rectify; right; 	make right or correct	راست یان ساغ کردنەوە
ENG20-00196646-v	worsen; decline; 	grow worse	روو لە خراپە نان
ENG20-00197171-v	slip; drop off; drop away; fall away; 	get worse	بەرەو خراپە چوون
ENG20-00197826-v	better; improve; ameliorate; meliorate; 	get better	بەرەو چاکە چوون
ENG20-00198579-v	better; improve; amend; ameliorate; meliorate; 	to make better	چاکتر کردنەوە
ENG20-00199187-n	termination; ending; conclusion; 	the act of ending something	کاروڕەوتی کۆتایی هێنان بە شتێک
ENG20-00200697-v	iron out; straighten out; put right; 	settle or put right	رێک خستن یان یەکلا کردنەوە
ENG20-00200852-v	worsen; aggravate; exacerbate; exasperate; 	make worse	خراپتر کردن
ENG20-00205023-v	preserve; keep; 	prevent (food) from rotting	پێشگری لە گەنین
ENG20-00205335-n	dismissal; dismission; discharge; firing; liberation; release; sack; sacking; 	the termination of someone's employment (leaving them free to depart)	کۆتایی هاتنی بەکار ئەسپێردارویی کەسێک( ڕێپێدران بۆ بەجێ هێشتن)
ENG20-00205950-n	destruction; devastation; 	termination by an act of destruction	کۆتایی هاتن لە ڕێگای کارورەوتی داڕووخان
ENG20-00206385-v	can; tin; put up; 	preserve in a can or tin	لە قووتوو یان تەنەکەدا پاراستن
ENG20-00207542-v	wet; 	cause to become wet	بوونە هۆی تەڕ بوون
ENG20-00207854-n	killing; kill; putting to death; 	the act of terminating a life	کاروڕەوتی دوایی هێنانی ژیانێک
ENG20-00209353-n	murder; slaying; execution; 	unlawful premeditated killing of a human being by a human being	کوشتنی نایاسایییانەی مرۆڤێک لە لایەنی مرۆڤێکی دیکەوە لە سەر بەرنامەیەکی پێشتر دیاریکراودا
ENG20-00209719-v	flood; 	cover with liquid, usually water	بە تراو، زۆرتر ئاو داپۆشان
ENG20-00210861-v	parch; sear; 	cause to wither or parch from exposure to heat	
ENG20-00211006-v	dry; dry out; 	remove the moisture from and make dry	سڕانەوە تەڕی لە شتێک و وشک کردنەوەی
ENG20-00211934-v	dry; dry out; 	become dry or drier	وشک یان وشکتر بوونەوە
ENG20-00213400-v	strengthen; beef up; fortify; 	make strong or stronger	بەهێز یان بەهێزتر کردنەوە
ENG20-00217329-v	weaken; 	lessen the strength of	دابەزاندنی هێز
ENG20-00218105-n	fade; disappearance; 	gradually ceasing to be visible	هێدیهێدی بەرەو نادیاری بردن
ENG20-00218994-v	intensify; deepen; 	become more intense	بەرینتر کردن
ENG20-00219482-n	nullification; override; 	the act of nullifying; making null and void; counteracting or overriding the effect or force of something	کاروڕەوتی پووچەڵ کردنەوە؛ کلۆر و پووچەڵ کردنەوە؛ بەرانبەربوونەوە یان هەڵوەشاندنەوەی شوێنەوار یان کارلێکەریی شتێک
ENG20-00220301-n	cancellation; 	the act of cancelling; calling off some arrangement	کاروڕەوتی هەڵوەشاندنەوە؛ لێک دانەوەی ڕێکخراوەیەک
ENG20-00222686-n	reversal; 	a change from one state to the opposite state	گۆڕانکارییەک لە دۆخێکەوە بۆ دۆخی پێچەوانە
ENG20-00223119-v	grow; 	become larger, greater, or bigger; expand or gain	گەورەتر، زەبەلاحتر یان زلتر بوون؛ هەڵدان یان پەرە ستاندن
ENG20-00223229-n	beginning; start; commencement; 	the act of starting something	کاروڕوتی دەست پێکردنی شتێک
ENG20-00224068-v	grow; 	increase in size by natural process	گەورە بوونی قەبارە بە هۆی پرۆسەیەکی سروشتییەوە
ENG20-00224871-n	constitution; establishment; formation; organization; organisation; 	the act of forming something	کاروڕەوتی پێک هێنانی شتێک
ENG20-00225754-v	restrict; restrain; trammel; limit; bound; confine; throttle; 	place limits on (extent or access)	بەرەنگاری لە سەر ئاستی دەست پێ گەیشتن یان 
ENG20-00227126-v	mark off; mark out; 	set boundaries to	دیاری کردنی سنوورەکان
ENG20-00227757-v	limit; circumscribe; confine; 	restrict or confine, "I limit you to two visits to the pub a day"	بەستنەوە یان پێبەندکردنی کەسێک؛ بۆ نموونە "ئەمن بە دوو جار سەردانت لە بارەکان دەتبەستمەوە"
ENG20-00229195-v	reduce; boil down; concentrate; 	cook until very little liquid is left	پێژانی خواردەمەنی هەتا مانەوەی تۆزێک تەڕی
ENG20-00229455-v	boil down; reduce; decoct; concentrate; 	be cooked until very little liquid is left	پێژرانی خواردەمەنی هەتا مانەوەی تۆزێک تەڕی 
ENG20-00230051-v	deoxidize; deoxidise; reduce; 	to remove oxygen from a compound, or cause to react with hydrogen or form a hydride, or to undergo an increase in the number of electrons	لێ کردنەوەی ئاکسیژن لە داڕشتەیەک، یان بوونە هۆی زیچ نیشان دان دەگەڵ هیدرۆژن یان پێک هاتنی هیدریدێک؛ بوونە هۆی زۆر بوونەوەی ئەژماری ئێلێکترۆنەکان
ENG20-00231734-n	cooking; cookery; preparation; 	the act of preparing something (as food) by the application of heat	کاروڕەوتی ڕێکوپێک کردنی شتێک(وەک چێشت) بە کەڵک وەرگرتنی لە تین
ENG20-00232691-v	shrink; contract; 	become smaller or draw together	بچووک بوونەوە یان چوونە ئاو
ENG20-00233158-v	shrink; reduce; 	reduce in size; reduce physically	کەم بوونەوەی قەبارە؛ دابەزین لە باری فیزیکییەوە
ENG20-00233791-v	shrivel; shrivel up; shrink; wither; 	wither, especially with a loss of moisture	ویشک بوونەوە بە تایبەت بە هۆی لە دەست دانی تەڕی 
ENG20-00234910-a	big; elder; older; 	older brother or sister	برا یان خووشکی بەساڵداچووتر
